atomic_id,location,exact_atomic_proposition,claim_class,importance,scope_and_qualifiers,warrant_pointer,independent_check,status,release_action
AC-001,Abstract; source lines 24-26,"Stored state is often reused because it is current, high-confidence, or well provenanced.",interpretation,supporting,Must remain within one learned dataset and three finite panels.,current manuscript evidence hierarchy,PENDING_BLIND_COVERAGE,BOUNDED_INFERENCE,retain at current scope; narrow or remove if blind review does not find entailment
AC-002,Abstract; source lines 24-26,None of these conditions establishes that the state supports the downstream task now being asked.,interpretation,supporting,Must remain within one learned dataset and three finite panels.,current manuscript evidence hierarchy,PENDING_BLIND_COVERAGE,BOUNDED_INFERENCE,retain at current scope; narrow or remove if blind review does not find entailment
AC-003,Abstract; source lines 24-26,"We formalize state sufficiency relative to a named responsibility and study a fail-closed reuse policy that either serves a registered responsibility, reopens richer state, or declines when support cannot be checked.",interpretation,supporting,Must remain within one learned dataset and three finite panels.,current manuscript evidence hierarchy,PENDING_BLIND_COVERAGE,BOUNDED_INFERENCE,retain at current scope; narrow or remove if blind review does not find entailment
AC-004,Abstract; source lines 24-26,The evaluation separates what follows by construction from what is measured.,interpretation,supporting,Must remain within one learned dataset and three finite panels.,current manuscript evidence hierarchy,PENDING_BLIND_COVERAGE,BOUNDED_INFERENCE,retain at current scope; narrow or remove if blind review does not find entailment
AC-005,Abstract; source lines 24-26,"On 1,797 handwritten-digit items evaluated under parity and exact-digit responsibilities, the policy deliberately reuses two-dimensional parity state for parity and reopens 64-dimensional input for exact identity.",empirical_or_finite_result,supporting,One learned dataset or complete registered finite panel; no population or deployment authority.,anonymous row-level review data and standard-library independent verifier,PENDING_BLIND_COVERAGE,VERIFIED,retain at current scope; narrow or remove if blind review does not find entailment
AC-006,Abstract; source lines 24-26,It therefore matches the always-raw accuracies while reading 33 rather than 64 state values per responsibility episode,interpretation,supporting,Must remain within one learned dataset and three finite panels.,current manuscript evidence hierarchy,PENDING_BLIND_COVERAGE,BOUNDED_INFERENCE,retain at current scope; narrow or remove if blind review does not find entailment
AC-007,Abstract; source lines 24-26,confidence-only and provenance-only policies reuse unsupported state and reach exact-digit accuracies of 0.396 and 0.238.,empirical_or_finite_result,supporting,One learned dataset or complete registered finite panel; no population or deployment authority.,anonymous row-level review data and standard-library independent verifier,PENDING_BLIND_COVERAGE,VERIFIED,retain at current scope; narrow or remove if blind review does not find entailment
AC-008,Abstract; source lines 24-26,"In a disjoint verifier-backed Boolean-formula study, the policy is correct on all 24 old/new responsibility episodes while reading 60 literals, versus 108 for always-raw",interpretation,supporting,Must remain within one learned dataset and three finite panels.,current manuscript evidence hierarchy,PENDING_BLIND_COVERAGE,BOUNDED_INFERENCE,retain at current scope; narrow or remove if blind review does not find entailment
AC-009,Abstract; source lines 24-26,confidence-only and provenance-only reuse all 12 stale certificates after change.,interpretation,supporting,Must remain within one learned dataset and three finite panels.,current manuscript evidence hierarchy,PENDING_BLIND_COVERAGE,BOUNDED_INFERENCE,retain at current scope; narrow or remove if blind review does not find entailment
AC-010,Abstract; source lines 24-26,"A 48-case provenance-tiered comparison shows that current provenance does not encode responsibility support, and a separate 60-case drift study shows complementary failures of unconditional and signature-only certificate transport.",interpretation,headline,Must remain within one learned dataset and three finite panels.,current manuscript evidence hierarchy,PENDING_BLIND_COVERAGE,BOUNDED_INFERENCE,retain at current scope; narrow or remove if blind review does not find entailment
AC-011,Abstract; source lines 24-26,An earlier self-scored safety endpoint is retained as invalid because its harm label shared the policy's own support bit.,interpretation,supporting,Must remain within one learned dataset and three finite panels.,current manuscript evidence hierarchy,PENDING_BLIND_COVERAGE,BOUNDED_INFERENCE,retain at current scope; narrow or remove if blind review does not find entailment
AC-012,Abstract; source lines 24-26,The evidence establishes bounded responsibility-relative reuse on one learned dataset and finite verified constructions.,interpretation,headline,Must remain within one learned dataset and three finite panels.,current manuscript evidence hierarchy,PENDING_BLIND_COVERAGE,BOUNDED_INFERENCE,retain at current scope; narrow or remove if blind review does not find entailment
AC-013,Abstract; source lines 24-26,"It does not establish deployment safety, population generalization, or transport across arbitrary semantic change",interpretation,headline,Must remain within one learned dataset and three finite panels.,current manuscript evidence hierarchy,PENDING_BLIND_COVERAGE,BOUNDED_INFERENCE,retain at current scope; narrow or remove if blind review does not find entailment
AC-014,Introduction; source lines 30-30,"Learned systems increasingly store compact predictions, summaries, memories, or certificates and reuse them later.",interpretation,supporting,Must remain within one learned dataset and three finite panels.,current manuscript evidence hierarchy,PENDING_BLIND_COVERAGE,BOUNDED_INFERENCE,retain at current scope; narrow or remove if blind review does not find entailment
AC-015,Introduction; source lines 30-30,"Reuse can save computation and preserve continuity, but it also creates a semantic question that confidence, freshness, and provenance do not answer: what may this state still be used to decide?",interpretation,supporting,Must remain within one learned dataset and three finite panels.,current manuscript evidence hierarchy,PENDING_BLIND_COVERAGE,BOUNDED_INFERENCE,retain at current scope; narrow or remove if blind review does not find entailment
AC-016,Introduction; source lines 30-30,A parity summary of a handwritten digit may remain accurate and current while being insufficient for exact digit identity.,interpretation,supporting,Must remain within one learned dataset and three finite panels.,current manuscript evidence hierarchy,PENDING_BLIND_COVERAGE,BOUNDED_INFERENCE,retain at current scope; narrow or remove if blind review does not find entailment
