atomic_id,location,exact_atomic_proposition,claim_class,importance,qualifiers_and_scope,dependencies_and_hidden_premises,warrant_pointer,warrant_class,evidence_resolution_status,support_or_entailment_status,strongest_alternative_or_counterexample,boundary_or_uncertainty,cross_section_locations,independent_check,status,release_action
A01,title,Acquisition outcomes and task-closure authority are distinct control objects.,interpretation,headline,open-world scientific-literature discovery,,manuscript/sections/acquisition_authority.tex,definition,RESOLVED,ENTAILED,a single acquisition/stopping policy carries both functions,"design/control distinction, not a universal empirical theorem",abstract; introduction; conclusion,independently traced to named warrant,BOUNDED_INFERENCE,retain
A02,abstract,The method is fail-closed: unresolved material routes remain open obligations.,method,headline,declared material routes only,,manuscript/sections/acquisition_authority.tex; manuscript/sections/formalism.tex,definition,RESOLVED,ENTAILED,,,introduction; formalism; conclusion,independently traced to named warrant,COHERENT_DEFINITION,retain
A03,abstract,The complete-gold controlled index contains 390 tasks and the governed controller reaches mean recall 0.979487 with zero premature task closure.,empirical_result,headline,synthetic complete-gold task universe,task is the statistical unit,evidence/offline_results/RESULTS_SUMMARY_V1.json,author_data,RESOLVED,ENTAILED,,,results; Table 1; Figure 2,independently traced to named warrant,VERIFIED,retain
A04,abstract,The controlled primary comparison is underpowered and does not establish superiority.,statistics,headline,frozen superiority margin 0.03,achieved half-width 0.0496,protocol/STATISTICAL_PLAN_V1.json; evidence/offline_results/RESULTS_SUMMARY_V1.json,method_record,RESOLVED,ENTAILED,promote the descriptive 0.312821 difference,descriptive mechanism evidence only,methods; results; discussion,independently traced to named warrant,VERIFIED,retain
A05,abstract,"On 400 exact contracts, fail-closed control is correct on 400 and the available-route donor product on 250.",empirical_result,headline,authored five-domain exact-contract battery,,evidence/p2x/P2_X_PROTECTED_RESULT_V1.json,author_data,RESOLVED,ENTAILED,,,methods; results; Table 2,independently traced to named warrant,VERIFIED,retain
A06,abstract,An information-equivalent typed product ties fail-closed control at 400/400.,empirical_result,headline,same unresolved-route semantics,,evidence/p2x/P2_X_PROTECTED_RESULT_V1.json; evidence/p2x/P2_X_INDEPENDENT_VERIFICATION_V1.json,author_data,RESOLVED,ENTAILED,inherent or centralized expressivity advantage,"supports the rule, not unique ownership",results; Table 2; discussion,independently traced to named warrant,VERIFIED,retain
A07,abstract,"The registered TREC-COVID recall criterion fails: delta -0.01769, 95% paired bootstrap interval [-0.02729,-0.00906].",statistics,headline,"50 paired topics; margin -0.02; 10,000 resamples",noninferiority determined by lower interval bound,external/P2_TREC_COVID_ARMS_V1.json,displayed_result,RESOLVED,ENTAILED,,,methods; results; Table 3; discussion; conclusion,independently traced to named warrant,VERIFIED,retain
A08,abstract,"The registered TREC-COVID cost criterion fails: 235.8 versus 85.52 reads, a 175.7% increase.",empirical_result,headline,same 50 topics,,external/P2_TREC_COVID_ARMS_V1.json,displayed_result,RESOLVED,ENTAILED,,,results; Table 3; discussion; conclusion,independently traced to named warrant,VERIFIED,retain
A09,abstract,"TREC-COVID nDCG@10 improves by 0.1488, 95% interval [0.1008,0.1986], but is secondary and cannot replace recall and cost.",statistics,major,endpoint prospectively excluded from the gate,noncompensatory registered decision rule,external/P2_TREC_COVID_ARMS_V1.json,method_record,RESOLVED,ENTAILED,post-outcome metric substitution,ranking-quality observation only,methods; results; discussion,independently traced to named warrant,VERIFIED,retain
A10,abstract,The paper makes no external retrieval-superiority or open-world-completeness claim.,interpretation,headline,present evidence only,,manuscript/main.tex; external/P2_TREC_COVID_ARMS_V1.json,method_record,RESOLVED,ENTAILED,promote controlled/exact-contract evidence externally,explicit non-claim,introduction; discussion; conclusion,independently traced to named warrant,VERIFIED,retain
