claim_id,surface,atomic_claim,claim_type,verification_status,release_status,warrant,resolution_action
A000,title,Formal Epistemic Structures and Mechanics,title_contribution,UNRESOLVED,withhold,current target residual and standalone source are unresolved,reassess after independent proof and novelty review
A001,manuscript/main.tex,Formal Epistemic Structures and Mechanics --- V5,formal_or_scope,SUPPORTED_INTERNAL,withhold,same-programme theorem/checker/manuscript state only,independent proof or entailment review required
A002,manuscript/main.tex,": 2026-08-22\\ Base manuscripts: FINAL_V2_1.md, FINAL_V3.md, FINAL_V4.md (historical scientific layers retained)",quantitative,SUPPORTED_INTERNAL,withhold,same-programme theorem/checker/manuscript state only,independent proof or entailment review required
A003,manuscript/main.tex,V4 presented a certificate-lifting semantics whose support was an exhaustive enumeration over a bounded model.,formal_or_scope,SUPPORTED_INTERNAL,withhold,same-programme theorem/checker/manuscript state only,independent proof or entailment review required
A004,manuscript/main.tex,"V5 changes what the paper claims to have proved, in both directions.",formal_or_scope,SUPPORTED_INTERNAL,withhold,same-programme theorem/checker/manuscript state only,independent proof or entailment review required
A005,manuscript/main.tex,"Eleven theorems are now discharged over uninterpreted sorts, so the separation and change-propagation results hold at any size rather than at the enumerated one; and three of the quantities V4 reported as findings are shown here to have been unfalsifiable, so they are withdrawn as evidence and kept only as a record of what the enumeration could and could not have detected.",formal_or_scope,VERIFIED,retain,adverse/refutation record retained in current source,retain adverse finding in reader-facing scientific language
A006,manuscript/sections/01-replacement-abstract.tex,Replacement abstract for V5,formal_or_scope,SUPPORTED_INTERNAL,withhold,same-programme theorem/checker/manuscript state only,independent proof or entailment review required
A007,manuscript/sections/01-replacement-abstract.tex,"Systems that carry out scientific work inside mature governance machinery accumulate certificates: runtime proof-of-execution, certified proposal--execution traces, portable action and approval receipts, workflow provenance signatures, dependency and effect systems, attested execution boundaries.",formal_or_scope,SUPPORTED_INTERNAL,withhold,same-programme theorem/checker/manuscript state only,independent proof or entailment review required
A008,manuscript/sections/01-replacement-abstract.tex,"This paper treats those mechanisms as reusable donor certificates rather than competitors, and asks what it takes to lift one of them into continued scientific standing after the scientific state changes.",formal_or_scope,SUPPORTED_INTERNAL,withhold,same-programme theorem/checker/manuscript state only,independent proof or entailment review required
A009,manuscript/sections/01-replacement-abstract.tex,"The answer is a conservative lifting semantics with two halves, and both are now proved rather than enumerated.",formal_or_scope,SUPPORTED_INTERNAL,withhold,same-programme theorem/checker/manuscript state only,independent proof or entailment review required
