SrcEntity	TgtEntity	Score
Optional.of(urn:orion:p3:v6:bertmap-smoke:source)#Class07	Optional.of(urn:orion:p3:v6:bertmap-smoke:target)#Class07	1.0
Optional.of(urn:orion:p3:v6:bertmap-smoke:source)#Class09	Optional.of(urn:orion:p3:v6:bertmap-smoke:target)#Class09	1.0
Optional.of(urn:orion:p3:v6:bertmap-smoke:source)#Class15	Optional.of(urn:orion:p3:v6:bertmap-smoke:target)#Class15	1.0
Optional.of(urn:orion:p3:v6:bertmap-smoke:source)#Class14	Optional.of(urn:orion:p3:v6:bertmap-smoke:target)#Class14	1.0
Optional.of(urn:orion:p3:v6:bertmap-smoke:source)#Class13	Optional.of(urn:orion:p3:v6:bertmap-smoke:target)#Class13	1.0
Optional.of(urn:orion:p3:v6:bertmap-smoke:source)#Class12	Optional.of(urn:orion:p3:v6:bertmap-smoke:target)#Class12	1.0
Optional.of(urn:orion:p3:v6:bertmap-smoke:source)#Class11	Optional.of(urn:orion:p3:v6:bertmap-smoke:target)#Class11	1.0
Optional.of(urn:orion:p3:v6:bertmap-smoke:source)#Class10	Optional.of(urn:orion:p3:v6:bertmap-smoke:target)#Class10	1.0
Optional.of(urn:orion:p3:v6:bertmap-smoke:source)#Class08	Optional.of(urn:orion:p3:v6:bertmap-smoke:target)#Class08	1.0
Optional.of(urn:orion:p3:v6:bertmap-smoke:source)#Class06	Optional.of(urn:orion:p3:v6:bertmap-smoke:target)#Class06	1.0
Optional.of(urn:orion:p3:v6:bertmap-smoke:source)#Class05	Optional.of(urn:orion:p3:v6:bertmap-smoke:target)#Class05	1.0
Optional.of(urn:orion:p3:v6:bertmap-smoke:source)#Class04	Optional.of(urn:orion:p3:v6:bertmap-smoke:target)#Class04	1.0
Optional.of(urn:orion:p3:v6:bertmap-smoke:source)#Class03	Optional.of(urn:orion:p3:v6:bertmap-smoke:target)#Class03	1.0
Optional.of(urn:orion:p3:v6:bertmap-smoke:source)#Class02	Optional.of(urn:orion:p3:v6:bertmap-smoke:target)#Class02	1.0
Optional.of(urn:orion:p3:v6:bertmap-smoke:source)#Class01	Optional.of(urn:orion:p3:v6:bertmap-smoke:target)#Class01	1.0
Optional.of(urn:orion:p3:v6:bertmap-smoke:source)#Class00	Optional.of(urn:orion:p3:v6:bertmap-smoke:target)#Class00	1.0
