atomic_id,location,exact_atomic_proposition,claim_class,importance,qualifiers_and_scope,warrant_pointer,independent_check,status,release_action
AC-001,Abstract; source lines 26-27,"When a learned system fails, adding model capacity or inference time is useful only if computation is the binding constraint.",interpretation,supporting,Interpretation must remain no stronger than the fixed-family outcomes and visible adverse evidence.,current manuscript evidence hierarchy,PENDING_REVIEWER_INFERENCE_CHECK,BOUNDED_INFERENCE,retain at current scope; revise or remove if independent check does not entail
AC-002,Abstract; source lines 26-27,Failure may instead arise because task-relevant information is absent or because an information-preserving representation is inaccessible to the chosen learner.,interpretation,supporting,Interpretation must remain no stronger than the fixed-family outcomes and visible adverse evidence.,current manuscript evidence hierarchy,PENDING_REVIEWER_INFERENCE_CHECK,BOUNDED_INFERENCE,retain at current scope; revise or remove if independent check does not entail
AC-003,Abstract; source lines 26-27,We evaluate a prospective diagnostic that distinguishes these three cases.,interpretation,supporting,Interpretation must remain no stronger than the fixed-family outcomes and visible adverse evidence.,current manuscript evidence hierarchy,PENDING_REVIEWER_INFERENCE_CHECK,BOUNDED_INFERENCE,retain at current scope; revise or remove if independent check does not entail
AC-004,Abstract; source lines 26-27,"For each task family, interventions add semantic information, repair accessibility without changing semantic content, or add computation.",interpretation,supporting,Interpretation must remain no stronger than the fixed-family outcomes and visible adverse evidence.,current manuscript evidence hierarchy,PENDING_REVIEWER_INFERENCE_CHECK,BOUNDED_INFERENCE,retain at current scope; revise or remove if independent check does not entail
AC-005,Abstract; source lines 26-27,The diagnostic selects the lowest registered-cost intervention that reaches a fixed quality threshold on a probe split,interpretation,supporting,Interpretation must remain no stronger than the fixed-family outcomes and visible adverse evidence.,current manuscript evidence hierarchy,PENDING_REVIEWER_INFERENCE_CHECK,BOUNDED_INFERENCE,retain at current scope; revise or remove if independent check does not entail
AC-006,Abstract; source lines 26-27,the causal disposition is recomputed on protected data.,interpretation,supporting,Interpretation must remain no stronger than the fixed-family outcomes and visible adverse evidence.,current manuscript evidence hierarchy,PENDING_REVIEWER_INFERENCE_CHECK,BOUNDED_INFERENCE,retain at current scope; revise or remove if independent check does not entail
AC-007,Abstract; source lines 26-27,"Across five families spanning handwritten-digit classification and exact executable tasks, the diagnostic identified the protected disposition in four families, versus one for a generic compute-escalation policy, and made no false compute escalations versus four.",interpretation,headline,Interpretation must remain no stronger than the fixed-family outcomes and visible adverse evidence.,current manuscript evidence hierarchy,PENDING_REVIEWER_INFERENCE_CHECK,BOUNDED_INFERENCE,retain at current scope; revise or remove if independent check does not entail
AC-008,Abstract; source lines 26-27,The remaining digit accessibility family was indeterminate because a probe-side threshold crossing did not transport to the protected split.,interpretation,supporting,Interpretation must remain no stronger than the fixed-family outcomes and visible adverse evidence.,current manuscript evidence hierarchy,PENDING_REVIEWER_INFERENCE_CHECK,BOUNDED_INFERENCE,retain at current scope; revise or remove if independent check does not entail
AC-009,Abstract; source lines 26-27,"The result survives a corrected vector-valued accounting of representation work, fitted state, model fitting, inference, and explicit computation, although the registered costs cannot be interpreted as a universal physical exchange rate.",interpretation,supporting,Interpretation must remain no stronger than the fixed-family outcomes and visible adverse evidence.,current manuscript evidence hierarchy,PENDING_REVIEWER_INFERENCE_CHECK,BOUNDED_INFERENCE,retain at current scope; revise or remove if independent check does not entail
AC-010,Abstract; source lines 26-27,Secondary studies preserve mixed evidence: information-equivalent access repair recovered linear accuracy on breast-cancer and digit data but produced a null on Wine,interpretation,supporting,Interpretation must remain no stronger than the fixed-family outcomes and visible adverse evidence.,current manuscript evidence hierarchy,PENDING_REVIEWER_INFERENCE_CHECK,BOUNDED_INFERENCE,retain at current scope; revise or remove if independent check does not entail
