claim_id,surface,atomic_claim,claim_type,verification_status,release_status,warrant,resolution_action
A000,title,Epistemic Navigation in Open Worlds,title_contribution,UNRESOLVED,withhold,current exact composition residual is not reconciled into one target manuscript,reassess after independent rule review
A001,manuscript/main.tex,Epistemic Navigation in Open Worlds --- V4,formal_or_scope,UNRESOLVED,withhold,current manuscript/evidence explicitly withholds authority,withhold from submission-ready state
A002,manuscript/main.tex,"VII current science manuscript overlay\\ Date: 2026-08-22\\ Historical base: FINAL.md / V2 formal core / FINAL_V3.md retained\\ Formal artifacts:\\ formal/mechanized/P7_COMPOSITION_CALCULUS_MECHANIZED_2026-08-21.json, formal/mechanized/P7_DONOR_STACK_AS_TRANSFORMATION_FAMILY_2026-08-22.json\\ Science terminal: P7_CLOSURE_CARRYING_NAVIGATION_SUPPORTED__BOUNDED_FORMAL_DONOR_STACK__IDEAL_PRODUCT_EQUIVALENT",quantitative,SUPPORTED_INTERNAL,withhold,same-programme theorem/checker or finite conformance evidence,independent review required
A003,manuscript/main.tex,V3 presented a closure-carrying navigation semantics whose support was an exhaustive enumeration over a bounded donor stack.,formal_or_scope,SUPPORTED_INTERNAL,withhold,same-programme theorem/checker or finite conformance evidence,independent review required
A004,manuscript/main.tex,"V4 changes what the paper claims about that support, in both directions.",formal_or_scope,SUPPORTED_INTERNAL,withhold,same-programme theorem/checker or finite conformance evidence,independent review required
A005,manuscript/main.tex,"The composition laws are now discharged by a solver over uninterpreted sorts, so they hold for chains of any length over any number of donor families, closure coordinates and obligation contracts; and the two composition counts V3 reported as findings are shown here to carry far less than their size suggests, so what they establish is stated precisely rather than left to the number.",formal_or_scope,SUPPORTED_INTERNAL,withhold,same-programme theorem/checker or finite conformance evidence,independent review required
A006,manuscript/sections/01-replacement-abstract.tex,Replacement abstract for V4,formal_or_scope,SUPPORTED_INTERNAL,withhold,same-programme theorem/checker or finite conformance evidence,independent review required
A007,manuscript/sections/01-replacement-abstract.tex,"Scientific navigation already has strong donor mechanisms: sound planning abstraction and refinement, counterexample-guided refinement, bidirectional transformation and migration, world-model replanning, and terminal-commitment frameworks.",formal_or_scope,SUPPORTED_INTERNAL,withhold,same-programme theorem/checker or finite conformance evidence,independent review required
A008,manuscript/sections/01-replacement-abstract.tex,P7 treats these as reusable navigation transforms and asks how task-global scientific closure survives them.,formal_or_scope,SUPPORTED_INTERNAL,withhold,same-programme theorem/checker or finite conformance evidence,independent review required
A009,manuscript/sections/01-replacement-abstract.tex,"The answer is a closure-carrying navigation semantics in which a donor-valid transformation carries closure only through an explicit obligation witness, and in which heterogeneous transforms compose only when the intermediate obligation contract is exactly bound or explicitly bridged.",formal_or_scope,SUPPORTED_INTERNAL,withhold,same-programme theorem/checker or finite conformance evidence,independent review required
