claim_id,surface,atomic_claim,claim_type,verification_status,release_status,warrant,resolution_action
A000,title,A Compositional Calculus for Cross-Domain Scientific Authority,title_contribution,UNRESOLVED,withhold,cross-domain/type-distinct authority composition is not executed in current evidence,execute type-distinct native comparison or narrow title and claim
A001,manuscript/main.tex,A Theory of Epistemic Authority for Autonomous Science --- V3 science update,formal_or_scope,SUPPORTED_INTERNAL,withhold,same-programme formalization/checker or finite gold,independent review or bounded claim required
A002,manuscript/main.tex,VIII current science manuscript overlay\\ Date: 2026-08-19\\ Historical base: V2/V2.1 formal core and JAAMAS submission bytes retained\\ Successor evidence: research/claim_expansion/p8/P8_X4_*\\ Science terminal: P8_CROSS_DOMAIN_SCIENTIFIC_AUTHORITY_COMPOSITION_SUPPORTED__13_DONOR_FORMAL_ENVELOPE__IDEAL_PRODUCT_EQUIVALENT,quantitative,SUPPORTED_INTERNAL,withhold,same-programme formalization/checker or finite gold,independent review or bounded claim required
A003,manuscript/main.tex,"V3 preserves the V2.1 blocker, coercion, revocation and typed-discharge semantics but widens the paper constructively.",quantitative,SUPPORTED_INTERNAL,withhold,same-programme formalization/checker or finite gold,independent review or bounded claim required
A004,manuscript/main.tex,"Modern authorization, delegation, evidence, scientific-release and claim-adjudication systems are treated as donor authority objects to be retained and composed rather than as novelty threats to route around.",formal_or_scope,SUPPORTED_INTERNAL,withhold,same-programme formalization/checker or finite gold,independent review or bounded claim required
A005,manuscript/sections/01-replacement-abstract.tex,Replacement abstract for V3,formal_or_scope,SUPPORTED_INTERNAL,withhold,same-programme formalization/checker or finite gold,independent review or bounded claim required
A006,manuscript/sections/01-replacement-abstract.tex,Autonomous scientific systems increasingly operate under strong local authority mechanisms.,formal_or_scope,SUPPORTED_INTERNAL,withhold,same-programme formalization/checker or finite gold,independent review or bounded claim required
A007,manuscript/sections/01-replacement-abstract.tex,"Agent-governance work provides evidence-backed permission graphs, proof-carrying action certificates, cryptographic delegation provenance, deterministic authority narrowing, accumulated principal-chain authorization, typed verifier certificates and heterogeneous authorization-evidence chains.",formal_or_scope,SUPPORTED_INTERNAL,withhold,same-programme formalization/checker or finite gold,independent review or bounded claim required
A008,manuscript/sections/01-replacement-abstract.tex,"Scientific-agent systems separately provide evidence-bound release gates, claim-to-evidence verification, contract-governed research artifacts, evidence-calibrated claim adjudication and evidence-ledger review.",formal_or_scope,SUPPORTED_INTERNAL,withhold,same-programme formalization/checker or finite gold,independent review or bounded claim required
A009,manuscript/sections/01-replacement-abstract.tex,P8 treats all of these mechanisms as donor-owned local authorities rather than claiming generic authorization or scientific verification as new.,formal_or_scope,SUPPORTED_INTERNAL,withhold,same-programme formalization/checker or finite gold,independent review or bounded claim required
A010,manuscript/sections/01-replacement-abstract.tex,"The remaining problem is compositional: when may a local authorization, delegation, verifier, claim-evidence or release verdict establish a different target scientific obligation?",formal_or_scope,SUPPORTED_INTERNAL,withhold,same-programme formalization/checker or finite gold,independent review or bounded claim required
A011,manuscript/sections/01-replacement-abstract.tex,P8 introduces a bounded scientific-authority lifting and composition calculus over thirteen donor families.,formal_or_scope,SUPPORTED_INTERNAL,withhold,same-programme formalization/checker or finite gold,independent review or bounded claim required
A012,manuscript/sections/01-replacement-abstract.tex,"The target obligation is typed by (domain, kind, scope, content, epoch).",formal_or_scope,SUPPORTED_INTERNAL,withhold,same-programme formalization/checker or finite gold,independent review or bounded claim required
A013,manuscript/sections/01-replacement-abstract.tex,Native donor authority is conserved.,formal_or_scope,SUPPORTED_INTERNAL,withhold,same-programme formalization/checker or finite gold,independent review or bounded claim required
A014,manuscript/sections/01-replacement-abstract.tex,"Scientific authority propagates across heterogeneous chains only when the scientific type is preserved or narrowed, or when an explicit subject/epoch-bound protected coercion supplies a complete bridge.",formal_or_scope,SUPPORTED_INTERNAL,withhold,same-programme formalization/checker or finite gold,independent review or bounded claim required
A015,manuscript/sections/01-replacement-abstract.tex,"Blockers use three states: REFUTED, UNDETERMINED, and ESTABLISHED, with UNDETERMINED yielding CANNOT_CHECK rather than silently disappearing.",formal_or_scope,UNRESOLVED,withhold,current evidence explicitly withholds authority,withhold
A016,manuscript/sections/01-replacement-abstract.tex,"Alternative complete support families make revocation exact: invalidating one route preserves authority when another complete independent route survives, while destroying all complete routes removes discharge.",formal_or_scope,SUPPORTED_INTERNAL,withhold,same-programme formalization/checker or finite gold,independent review or bounded claim required
A017,manuscript/sections/01-replacement-abstract.tex,Action or release permission and scientific support are explicitly non-inverse relations.,formal_or_scope,SUPPORTED_INTERNAL,withhold,same-programme formalization/checker or finite gold,independent review or bounded claim required
A018,manuscript/sections/01-replacement-abstract.tex,"The final X4 finite model covers 3,072 distinct exact authority states, each replayed across thirteen donor families for a total of 39,936 evaluations.",quantitative,SUPPORTED_INTERNAL,withhold,same-programme formalization/checker or finite gold,independent review or bounded claim required
A019,manuscript/sections/01-replacement-abstract.tex,"The distinction matters and we state it plainly: the terminal function takes seven arguments and the donor family is not among them, so over the 239,616 pairs of evaluations differing only in donor, none changes the verdict.",quantitative,SUPPORTED_INTERNAL,withhold,same-programme formalization/checker or finite gold,independent review or bounded claim required
A020,manuscript/sections/01-replacement-abstract.tex,"That invariance is the donor-conservativity result rather than additional coverage, and the thirteen families are a replication factor, not a state dimension.",formal_or_scope,VERIFIED,retain,mechanized adverse correction,retain correction and remove contradicted breadth
A021,manuscript/sections/01-replacement-abstract.tex,It has zero donor-conservativity violations and zero mismatches with an ideal equally typed decentralized product.,formal_or_scope,SUPPORTED_INTERNAL,withhold,same-programme formalization/checker or finite gold,independent review or bounded claim required
A022,manuscript/sections/01-replacement-abstract.tex,"It contains 65 minimal scientific-type separation witnesses, 65 protected-coercion successes and 65 matched unprotected countermodels, the three-state blocker law for all thirteen donor families, 26 single-support-family revocation survivals and 13 all-support-family blocks, plus 169 heterogeneous ordered-chain composition successes and 169 matched scientific-authority-widening countermodels.",quantitative,CONTRADICTED,withhold,later current interpretation shows the 169 rows are one reflexive state repeated and do not exercise heterogeneity,remove or replace with type-distinct execution
A023,manuscript/sections/01-replacement-abstract.tex,A second implementation independently reproduces the canonical enumeration.,formal_or_scope,SUPPORTED_INTERNAL,withhold,same-programme formalization/checker or finite gold,independent review or bounded claim required
A024,manuscript/sections/01-replacement-abstract.tex,"The result is a bounded cross-domain scientific-authority composition semantics, not generic authorization, local scientific verification, deployed-agent superiority, or a claim of centralized expressive advantage.",formal_or_scope,SUPPORTED_INTERNAL,withhold,same-programme formalization/checker or finite gold,independent review or bounded claim required
